badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,30500,2500.0,33000,Cavassa 2640,"Caseros, Tres de Febrero",44,2,1,1,/propiedades/unico-dpto-2-amb-p-baja-con-patio-48141387.html,Único Dpto 2 Amb P Baja con Patio,Publicado hoy,
$,28000,,28000,Quintana 1242,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-alta-al-frente-48140458.html,Departamento Dos Ambientes Planta Alta Al Frente,Publicado desde ayer,
$,28000,1000.0,29000,Mitre 2900 1°,"Caseros, Tres de Febrero",48,2,1,1,/propiedades/depto-amplio-y-luminoso:-impecable:-excelente-48141765.html,Depto Amplio y Luminoso: Impecable: Excelente Ubicacion,Publicado desde ayer,
$,20000,,20000,Caseros,"Caseros, Tres de Febrero",31,1,1,1,/propiedades/monoambiente-gral.-manuel-belgrano-al-4500-48137412.html,Monoambiente | Gral. Manuel Belgrano Al 4500,Publicado desde ayer,
$,18000,,18000,Caseros,"Caseros, Tres de Febrero",29,1,,1,/propiedades/departamento-monoambiente.-murias-2078-48141947.html,Departamento Monoambiente. | Murias 2078,Publicado desde ayer,
$,23000,,23000,Luis M. Campos,"Villa Bosch, Tres de Febrero",45,2,1,1,/propiedades/departamento-en-alquiler-en-villa-bosch-48138041.html,Departamento en Alquiler en Villa Bosch,Publicado desde ayer,
$,23500,,23500,Del Kaiser al 1200,"Villa Bosch, Tres de Febrero",,2,1,1,/propiedades/departamento-villa-bosch-48119289.html,Departamento - Villa Bosch,Publicado hace 5 días,
$,26000,,26000,Wenceslao de Tata 4900. Entre J. murias y Curapaligue,"Caseros, Tres de Febrero",43,2,1,1,/propiedades/departamento-2-ambientes.-wenceslao-de-tata-al-4900-48113915.html,Departamento 2 Ambientes. | Wenceslao de Tata Al 4900,Publicado hoy,
$,19000,,19000,Belgrano 4400,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/monoambiente-en-alquiler-en-caseros-48116697.html,Monoambiente en Alquiler en Caseros,Publicado hace 6 días,
$,26000,2500.0,28500,Miguel Ángel 5681,"Villa Bosch, Tres de Febrero",44,2,1,1,/propiedades/departamento-2-ambientes-48117443.html,Departamento 2 Ambientes,Publicado hace 6 días,
$,38000,,38000,Caseros,"Caseros, Tres de Febrero",52,3,2,1,/propiedades/departamento-3-ambientes.-de-tata-wenceslao-4941-48108201.html,Departamento 3 Ambientes. | de Tata Wenceslao 4941,Publicado hace 7 días,1
$,42000,,42000,Caseros,"Caseros, Tres de Febrero",120,4,3,2,/propiedades/en-alquiler-en-caseros-sobre-mitre-al-5800-48109134.html,"En Alquiler en Caseros Sobre Mitre Al 5800, Departamento en 1er Piso Al Frente de 4 Ambientes con 2",Publicado hace 7 días,
$,24000,3000.0,27000,Justo Jose de Urquiza 5000. Entre Gral. hornos y Constitucion,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/depto-monoambiente-en-el-centro-de-caseros-48109614.html,Depto Monoambiente en El Centro de Caseros,Publicado hace 7 días,
