badge,prize,prize+expenses,address,location,Bathrooms,href,description,published-date,Area,Environments,Bedrooms,expenses,Garage
$,23000,23000,Perdiguero 1200 pb,"Caseros, Tres de Febrero",1,/propiedades/ph-de-2-ambientes-en-planta-baja-48027804.html,PH de 2 Ambientes en Planta Baja,Publicado hace 18 días,35,2,1,,
$,28000,28000,Martín Coronado,"Martín Coronado, Tres de Febrero",1,/propiedades/en-alquiler-en-martin-coronado-departamento-de-3-47998328.html,"En Alquiler en Martin Coronado Departamento de 3 Ambientes, 3º Piso con Ascensor 2 Dorm., Coci",Publicado hace 24 días,60,3,2,,
$,22000,25000,Avenida Mitre 4965,"Caseros, Tres de Febrero",1,/propiedades/departamento-de-1-ambientes-con-balcon-47999400.html,Departamento de 1 Ambientes con Balcon,Publicado hace 24 días,35,1,,3000.0,
$,25000,25000,Belgrano 4400,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-47987952.html,Departamento en Alquiler en Caseros,Publicado hace 25 días,25,2,1,,
$,25000,29174,MARCO POLO 5116. Entre Hornos general y Baldini maestra,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-marco-polo-5116-47986575.html,Departamento 2 Ambientes. | Marco Polo 5116,Publicado hace 26 días,40,2,1,4174.0,
$,30000,33000,Cavassa 2800,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-47986444.html,Departamento en Alquiler en Caseros,Publicado hace 26 días,37,2,1,3000.0,1
$,27500,30000,Moreno 4500 1°,"Caseros, Tres de Febrero",1,/propiedades/departamento-de-2-ambientes-con-balcon-al-frente-47978819.html,Departamento de 2 Ambientes con Balcón Al Frente,Publicado hace 29 días,40,2,1,2500.0,
$,40000,47700,Justo Jose de Urquiza 4700. Entre Av. san martin y 3 de febrero,"Caseros, Tres de Febrero",1,/propiedades/depto-3-amb.-en-caseros-47965692.html,Depto 3 Amb. en Caseros,Publicado hace 31 días,68,3,2,7700.0,
$,21000,25500,LA MERCED 4820,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes-en-el-centro-de-caseros-47964370.html,Departamento 2 Ambientes en El Centro de Caseros,Publicado hace 30 días,45,2,1,4500.0,
$,20000,22500,Wenceslao De Tata 4500 4°,"Caseros, Tres de Febrero",1,/propiedades/amplio-monoambiente-exelente-ubicacion-47964801.html,Amplio Monoambiente Exelente Ubicación,Publicado hace 10 días,34,,,2500.0,
