badge,prize,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,expenses,Garage
$,26000,28500,Alicia Moreau de Justo 2847,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/dos-ambientes-excelente-ubicacion-caseros-centro.-48063254.html,"Dos Ambientes - Excelente Ubicacion, Caseros Centro.",Publicado hace 16 días,2500.0,
$,25000,25000,Illia Nº al 1200,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-villa-bosch-48054780.html,Departamento - Villa Bosch,Publicado hace 18 días,,
$,20000,21200,Avenida Libertador General San Martín 2200,"Caseros, Tres de Febrero",25,1,,1,/propiedades/alquiler-monoambiente-centro-caseros-48054350.html,Alquiler Monoambiente Centro Caseros,Publicado hace 18 días,1200.0,
$,20000,22700,Pasaje Galvan 2600. Entre Pres. kennedy y Gral. manuel belgrano,"Caseros, Tres de Febrero",29,1,1,1,/propiedades/mono-ambiente-con-cochera-en-alquiler-caseros-48036373.html,"Mono Ambiente con Cochera en Alquiler, Caseros",Publicado hace 22 días,2700.0,1
$,19000,21600,Caseros,"Caseros, Tres de Febrero",27,1,,1,/propiedades/departamento-monoambiente.-frugone-2960-48042502.html,Departamento Monoambiente. | Frugone 2960,Publicado hace 22 días,2600.0,
$,23000,23000,MONTEAGUDO 1100. Entre Santos vega y Ascasubi,"Villa Bosch, Tres de Febrero",45,2,1,,/propiedades/en-alquiler-ph-2-ambientes-villa-bosch-48030898.html,"En Alquiler PH 2 Ambientes, Villa Bosch",Publicado hoy,,
$,23000,23000,Perdiguero 1200 pb,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/ph-de-2-ambientes-en-planta-baja-48027804.html,PH de 2 Ambientes en Planta Baja,Publicado hace 24 días,,
$,35000,35500,Gabriel Linares 4650,"Caseros, Tres de Febrero",100,3,2,1,/propiedades/departamento-47998816.html,Departamento,Publicado hace 4 días,500.0,
$,22000,25000,Avenida Mitre 4965,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-de-1-ambientes-con-balcon-47999400.html,Departamento de 1 Ambientes con Balcon,Publicado hace 30 días,3000.0,
$,25000,29174,MARCO POLO 5116. Entre Hornos general y Baldini maestra,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-2-ambientes.-marco-polo-5116-47986575.html,Departamento 2 Ambientes. | Marco Polo 5116,Publicado hace 32 días,4174.0,
$,25000,25000,Belgrano 4400,"Caseros, Tres de Febrero",25,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47987952.html,Departamento en Alquiler en Caseros,Publicado hace 31 días,,
$,30000,33000,Cavassa 2800,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47986444.html,Departamento en Alquiler en Caseros,Publicado hace 32 días,3000.0,1
$,27500,30000,Moreno 4500 1°,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-de-2-ambientes-con-balcon-al-frente-47978819.html,Departamento de 2 Ambientes con Balcón Al Frente,Publicado hace 35 días,2500.0,
$,40000,47700,Justo Jose de Urquiza 4700. Entre Av. san martin y 3 de febrero,"Caseros, Tres de Febrero",68,3,2,1,/propiedades/depto-3-amb.-en-caseros-47965692.html,Depto 3 Amb. en Caseros,Publicado hace 37 días,7700.0,
$,20000,22500,Wenceslao De Tata 4500 4°,"Caseros, Tres de Febrero",34,,,1,/propiedades/amplio-monoambiente-exelente-ubicacion-47964801.html,Amplio Monoambiente Exelente Ubicación,Publicado hace 16 días,2500.0,
$,21000,25500,LA MERCED 4820,"Caseros, Tres de Febrero",45,2,1,1,/propiedades/departamento-2-ambientes-en-el-centro-de-caseros-47964370.html,Departamento 2 Ambientes en El Centro de Caseros,Publicado hace 36 días,4500.0,
$,33000,37500,3 de Febrero 2900. Entre Av. mitre y La merced,"Caseros, Tres de Febrero",55,3,2,1,/propiedades/departamento-3-ambientes.-3-de-febrero-al-2900-47964228.html,Departamento 3 Ambientes. | 3 de Febrero Al 2900,Publicado hace 37 días,4500.0,
$,19000,19000,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/monoambiente-en-alquiler.-excelente-estado.-muy-buena-47820393.html,Monoambiente en Alquiler. Excelente Estado. Muy Buena Ubicacion en Ciudad Jardin,Publicado hoy,,
$,24700,24700,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/departamento-en-alquiler-ciudad-jardin-47753666.html,Departamento en Alquiler Ciudad Jardin,Publicado hoy,,
$,17000,19800,Caseros,"Caseros, Tres de Febrero",26,1,,1,/propiedades/departamento-monoambiente.-urquiza-av-gral-4543-47932015.html,Departamento Monoambiente. | Urquiza Av Gral 4543,Publicado hace 44 días,2800.0,
