badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,30000,3000.0,33000,Cavassa 2800,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47986444.html,Departamento en Alquiler en Caseros,Publicado hace 29 días,1
$,27500,2500.0,30000,Moreno 4500 1°,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-de-2-ambientes-con-balcon-al-frente-47978819.html,Departamento de 2 Ambientes con Balcón Al Frente,Publicado hace 32 días,
$,40000,7700.0,47700,Justo Jose de Urquiza 4700. Entre Av. san martin y 3 de febrero,"Caseros, Tres de Febrero",68,3,2,1,/propiedades/depto-3-amb.-en-caseros-47965692.html,Depto 3 Amb. en Caseros,Publicado hace 34 días,
$,21000,4500.0,25500,LA MERCED 4820,"Caseros, Tres de Febrero",45,2,1,1,/propiedades/departamento-2-ambientes-en-el-centro-de-caseros-47964370.html,Departamento 2 Ambientes en El Centro de Caseros,Publicado hace 33 días,
$,20000,2500.0,22500,Wenceslao De Tata 4500 4°,"Caseros, Tres de Febrero",34,,,1,/propiedades/amplio-monoambiente-exelente-ubicacion-47964801.html,Amplio Monoambiente Exelente Ubicación,Publicado hace 13 días,
$,33000,4500.0,37500,3 de Febrero 2900. Entre Av. mitre y La merced,"Caseros, Tres de Febrero",55,3,2,1,/propiedades/departamento-3-ambientes.-3-de-febrero-al-2900-47964228.html,Departamento 3 Ambientes. | 3 de Febrero Al 2900,Publicado hace 34 días,
$,19000,,19000,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/monoambiente-en-alquiler.-excelente-estado.-muy-buena-47820393.html,Monoambiente en Alquiler. Excelente Estado. Muy Buena Ubicacion en Ciudad Jardin,Publicado hoy,
$,24700,,24700,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",,,,,/propiedades/departamento-en-alquiler-ciudad-jardin-47753666.html,Departamento en Alquiler Ciudad Jardin,Publicado hoy,
$,17000,2800.0,19800,Caseros,"Caseros, Tres de Febrero",26,1,,1,/propiedades/departamento-monoambiente.-urquiza-av-gral-4543-47932015.html,Departamento Monoambiente. | Urquiza Av Gral 4543,Publicado hace 41 días,
$,20000,1100.0,21100,Guarmini al 5500,"Caseros, Tres de Febrero",60,1,1,1,/propiedades/alquiler-departamento-caseros-47925779.html,Alquiler Departamento - Caseros,Publicado hace 42 días,
$,22000,3300.0,25300,Caseros,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-2-ambientes.-san-martin-av-2665-47917759.html,Departamento 2 Ambientes. | San Martin Av 2665,Publicado hace 7 días,
$,17000,2200.0,19200,JOSE MURIAS 2000. Entre Fischetti y Wenceslao de tata,"Caseros, Tres de Febrero",28,1,,1,/propiedades/en-alquiler-monoambiente-caseros.-47909576.html,"En Alquiler Monoambiente, Caseros.",Publicado hace 47 días,
$,17000,,17000,San Leonardo Murialdo 1900,"Caseros, Tres de Febrero",27,1,,1,/propiedades/monoambiente-en-alquiler-en-caseros-47903351.html,Monoambiente en Alquiler en Caseros,Publicado hace 48 días,
$,20000,2000.0,22000,Jose Murias 2078,"Caseros, Tres de Febrero",32,,,1,/propiedades/departemento-de-1-ambiente-caseros-norte-47895239.html,Departemento de 1 Ambiente Caseros Norte,Publicado hace 49 días,
